descrição,Série,período,valor,ano
ENS. MÉDIO MÉD. 3 SÉRIE TEORIA E EXERCÍCIOS (HB 2) - BIOLOGIA E INGLÊS -  2,3º EM,2,"162,76",2025
ENS. MÉDIO MÉD. 3 SÉRIE TAREFA 1 - MAT. - PORT. - HIST. - GEOGR. -  3,3º EM,3,"162,76",2025
ENS. MÉDIO MÉD. 3 SÉRIE TAREFA 2 - FÍS. - BIOL. - QUIM. - ING. -  3,3º EM,3,"162,76",2025
ENS. MÉDIO MÉD. 3 SÉRIE TEORIA E EXERCÍCIOS (EH 1) - MATEMÁTICA E FÍSICA -  3,3º EM,3,"162,76",2025
ENS. MÉDIO MÉD. 3 SÉRIE TEORIA E EXERCÍCIOS (EH 2) - QUÍMICA E PORTUGUÊS -  3,3º EM,3,"162,76",2025
ENS. MÉDIO MÉD. 3 SÉRIE TEORIA E EXERCÍCIOS (HB 1) - HISTÓRIA E GEOGRADIA -  3,3º EM,3,"162,76",2025
ENS. MÉDIO MÉD. 3 SÉRIE TEORIA E EXERCÍCIOS (HB 2) - BIOLOGIA E INGLÊS -  3,3º EM,3,"162,76",2025
ENS. MÉDIO MÉD. 3 SÉRIE TAREFA 1 - MAT. - PORT. - HIST. - GEOGR. -  4,3º EM,4,"162,76",2025
ENS. MÉDIO MÉD. 3 SÉRIE TAREFA 2 - FÍS. - BIOL. - QUIM. - ING. -  4,3º EM,4,"162,76",2025
ENS. MÉDIO MÉD. 3 SÉRIE TEORIA E EXERCÍCIOS (EH 1) - MATEMÁTICA E FÍSICA -  4,3º EM,4,"162,76",2025
ENS. MÉDIO MÉD. 3 SÉRIE TEORIA E EXERCÍCIOS (EH 2) - QUÍMICA E PORTUGUÊS -  4,3º EM,4,"162,76",2025
ENS. MÉDIO MÉD. 3 SÉRIE TEORIA E EXERCÍCIOS (HB 1) - HISTÓRIA E GEOGRADIA -  4,3º EM,4,"162,76",2025
ENS. MÉDIO MÉD. 3 SÉRIE TEORIA E EXERCÍCIOS (HB 2) - BIOLOGIA E INGLÊS -  4,3º EM,4,"162,76",2025
LV-CADERNO DE FICHA RESUMO: VOLUME 1,3º EM,anual,"118,40",2025
LV-CADERNO DE FICHA RESUMO: VOLUME 2,3º EM,anual,"118,40",2025
LV-REVISÃO GERAL - 30 AULAS BIOLÓGICA E EXATAS TAREFA,3º EM,4,"245,12",2025
LV-REVISÃO GERAL - 30 AULAS BIOLÓGICA E EXATAS EXERCÍCIOS,3º EM,4,"245,12",2025
JOVENS FOR SCHOOL - 1,3º EM,1,200,2025
JOVENS FOR SCHOOL - 2,3º EM,3,200,2025
INFANTIL 1 - ARTE,INFANTIL 1,anual,"0,00",2026
INFANTIL 1 - CADERNO INTEGRADO COM OS 5 CAMPOS DE EXPERIÊNCIA 1,INFANTIL 1,1,"0,00",2026
INFANTIL 1 - CADERNO INTEGRADO COM OS 5 CAMPOS DE EXPERIÊNCIA 2,INFANTIL 1,3,"0,00",2026
INFANTIL 1 AO 3 - DIÁRIO DO ALUNO 1,INFANTIL 1,1,"0,00",2026
INFANTIL 1 AO 3 - DIÁRIO DO ALUNO 2,INFANTIL 1,3,"0,00",2026
INFANTIL 2 - ARTE,INFANTIL 2,anual,"0,00",2026
INFANTIL 2 - INGLÊS,INFANTIL 2,anual,"0,00",2026
INFANTIL 2 - CADERNO INTEGRADO COM OS 5 CAMPOS DE EXPERIÊNCIA 1,INFANTIL 2,1,"0,00",2026
INFANTIL 2 - CADERNO INTEGRADO COM OS 5 CAMPOS DE EXPERIÊNCIA 2,INFANTIL 2,2,"0,00",2026
INFANTIL 2 - CADERNO INTEGRADO COM OS 5 CAMPOS DE EXPERIÊNCIA 3,INFANTIL 2,3,"0,00",2026
INFANTIL 2 - CADERNO INTEGRADO COM OS 5 CAMPOS DE EXPERIÊNCIA 4,INFANTIL 2,4,"0,00",2026
INFANTIL 1 AO 3 - DIÁRIO DO ALUNO 1,INFANTIL 2,1,"0,00",2026
INFANTIL 1 AO 3 - DIÁRIO DO ALUNO 2,INFANTIL 2,3,"0,00",2026
INFANTIL 3 - INGLÊS,INFANTIL 3,anual,"0,00",2026
INFANTIL 3 - CADERNO INTEGRADO COM OS 5 CAMPOS DE EXPERIÊNCIA 1,INFANTIL 3,1,"0,00",2026
